username, created_at, lng, lat, text
MRoorda, Fri Apr 24 01:06:06 +0000 2020, -71.110820, 42.424952, @TKhatesyou https://t.co/Ttdxg9B88i 
tylerwilson_007, Fri Apr 24 01:06:06 +0000 2020, -97.285913, 32.779967, @VegaHealy42 Except anticipation and accuracy but yeah sure. 
houseofari, Fri Apr 24 01:06:06 +0000 2020, -77.236969, 38.805115, Anyone above 6 feet instantly has my attention Me🤝Favoritism 
giraffeguy1962, Fri Apr 24 01:06:07 +0000 2020, -81.280808, 28.220446, @Scott_Maxwell That’s the problem with Republicans &amp; conservatives in general. This is a concern not just in… https://t.co/k2CDWYvYu4 
_RichRob_, Fri Apr 24 01:06:07 +0000 2020, -73.948775, 40.655138, @Coolquis_3 That’s a good look for y’all I think 
manrajwashere, Fri Apr 24 01:06:07 +0000 2020, -79.759591, 43.724971, @kiratsdhanoya good job bro! can't wait to see you in waterloo 😝😝😝 
MyNameIsRaen, Fri Apr 24 01:06:07 +0000 2020, -100.293591, 25.641718, Yo viendo cómo van cancelando uno a uno a todos los tw usuarios que yo ya había cancelado hace rato: https://t.co/ijKPCGH9r3 
jwex520, Fri Apr 24 01:06:07 +0000 2020, -95.400973, 30.124856, How do you pass on Isaiah Simmons. Like how. 
GregOlmen, Fri Apr 24 01:06:07 +0000 2020, -116.952353, 32.799253, @roozeboom36 Who better to block for the reach drafted QB? 
jbsbasketball, Fri Apr 24 01:06:07 +0000 2020, -121.069515, 38.682857, Congratulations to Diamond Richardson offers from University of Pacific https://t.co/4o7vjUibm4 
MacleanKay, Fri Apr 24 01:06:07 +0000 2020, -123.358379, 48.426730, @MikewoodsMike @jennafabulous 100%. I think I prefer it, actually. 
kennycapps, Fri Apr 24 01:06:07 +0000 2020, -82.325600, 35.619200, It was a long day of Zoom calls, mostly trying to find funds for the programs at @throwingbones4u and had to clear… https://t.co/LszKpPfwkD 
jessssicapooley, Fri Apr 24 01:06:07 +0000 2020, -83.574671, 41.656590, @julialump No not mistake, it’s the federal money they were giving $600, i for it 3x too I was like oh okay! 
Aj_river3412, Fri Apr 24 01:06:07 +0000 2020, -98.000235, 26.176961, Happy birthday @sballin_23 hope you had a badass day broski much love 🙌🏼👊🏻 
foretoken, Fri Apr 24 01:06:07 +0000 2020, -95.446486, 29.838495, You didn’t know that? Lol 
PhongOdin, Fri Apr 24 01:06:07 +0000 2020, -122.481626, 45.651247, @TabletopPolish @sedjtroll Only -1? 
TheIsaiahPhilo, Fri Apr 24 01:06:07 +0000 2020, -75.770041, 42.746617, Justin Herbert, if he sits for a while (like a year, which you don't typically do for a first round pick), will be… https://t.co/stpeq5xQmz 
YEVJ9NIA, Fri Apr 24 01:06:07 +0000 2020, -73.831187, 40.670879, @WallStRique That’s if he’s good... 
bmozmo, Fri Apr 24 01:06:07 +0000 2020, -120.862479, 37.499596, @JuicyJ225 how you like that pick? Yay or nay 
carlicornelius, Fri Apr 24 01:06:07 +0000 2020, -95.509554, 30.428406, boys are so stupid 
UDreamOfJennyyy, Fri Apr 24 01:06:07 +0000 2020, -96.761753, 32.819858, my homie jus called me and told me he made his relationship official but also already cheated on her 🤧😂 
lexiimarquez_, Fri Apr 24 01:06:07 +0000 2020, -83.804475, 27.698682, Wow, how is everyone barely realizing how handsome @RealChalamet is. Stay sleeping 
_assiyah_, Fri Apr 24 01:06:07 +0000 2020, -118.222017, 33.884968, My fucking brain hurts 
ChinLovesIowa, Fri Apr 24 01:06:07 +0000 2020, -91.618471, 41.754823, @AJFreebs Would have like to have seen more to judge for the rating, the high end is high, 8.43/10 
ash_aru, Fri Apr 24 01:06:07 +0000 2020, -80.201535, 26.168382, OMFG I was 14 when this movie came out and now I’m 27 and I haven’t watched this in forever and I’m relating to the… https://t.co/NuztCzli7f 
CMilz96, Fri Apr 24 01:06:07 +0000 2020, -72.841478, 40.760596, @dezlax1 @daviddisanto_ People just like twisting my words for clout 
pyrodamsel, Fri Apr 24 01:06:07 +0000 2020, -119.034349, 34.225328, I entered to #win #SonicTheHedgehog #movie  from  @tabbyspantry you should too #giveaway #entertowin https://t.co/45xXkrjXFQ 
mmgart_, Fri Apr 24 01:06:07 +0000 2020, -77.604684, 41.117936, There’s a new trend on tiktok where you’re suppose to show the girl one of your past bfs cheated on you with...I wa… https://t.co/pktm2UK8Bo 
pikadagalaxia13, Fri Apr 24 01:06:07 +0000 2020, -80.166071, 25.955323, Acho q vou raspar meu cabelo 😢 
RealMarcusJCage, Fri Apr 24 01:06:07 +0000 2020, -118.194026, 33.938045, @MomoGris @ProudResister No Reagan doesn't EVER need to be spoken of in a positive light. 
EdDennis_8, Fri Apr 24 01:06:07 +0000 2020, -75.261164, 39.921241, Great pick for da Chargers, Herbert is different 
